NZ CREDIT CARD,£	0,US$	0,,Tax Return - R,"£	1,670.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAY REVOLUT,£	0,£	0,,Total,"£	3,968.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLIVIA REVOLUT,£	0,,,Overspend,"£	1,811.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO GENERAL,"£	1,500",£	0,,Laptop,"£	1,899.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO SPENDING,£	0,,,Remaining,£	258.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO BILLS,£	52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO RENT,£	250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO NZ HOUSE,£	0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEK 2,Monday,August 11,£	333.60,,,,£	(500.00),,,,,,,£	(200.00),"US$	10,000.00",US$	0.00,£	0.00,,"US$	4,849.53","£	2,182.29",,,,,,£	428.57,£	(71.43),£	500.00,£	113.07,£	(5.94),,£	250.00,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	930.99,£	(100.00),£	(100.00),£	200.00,US$	16.44,£	7.40,,£	0.00,US$	0.00,,£	0.00,US$	16.44,US$	7.40,"£	5,991.92","US$	13,315.37"
WEEK 2,Tuesday,August 12,£	333.60,,,,,,,£	(50.00),,,,£	50.00,"US$	10,000.00",US$	0.00,£	0.00,,"US$	4,849.53","£	2,182.29",,,,,,£	357.14,£	(71.43),,£	107.12,£	(5.94),,£	250.00,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	880.99,,,£	(50.00),US$	16.44,£	7.40,,£	50.00,US$	111.11,,£	50.00,US$	127.55,US$	57.40,"£	5,914.54","US$	13,143.42"
WEEK 2,Wednesday,August 13,£	141.78,,,,,,£	250.00,£	(441.82),,,,,"US$	10,000.00",US$	0.00,£	0.00,,"US$	2,991.53","£	1,346.19","US$	(1,858.00)",,,,,£	285.71,£	(71.43),,£	101.18,£	(5.94),,£	0.00,,,,£	(250.00),"£	1,746.00",,US$	0.00,£	0.00,,,£	880.99,,,,US$	16.44,£	7.40,,£	(50.00),US$	(111.11),£	(541.82),£	441.82,US$	(94.67),US$	(42.60),"£	4,459.25","US$	9,909.44"
WEEK 2,Thursday,August 14,£	141.78,,,,,,,,,,,,"US$	10,000.00",US$	0.00,£	0.00,,"US$	2,991.53","£	1,346.19",,,,,,£	214.28,£	(71.43),,£	95.23,£	(5.94),,£	(76.26),,,£	(76.26),,"£	1,746.00",,US$	0.00,£	0.00,,,£	880.99,,,,US$	16.44,£	7.40,,£	(50.00),US$	(111.11),,£	0.00,US$	(94.67),US$	(42.60),"£	4,305.61","US$	9,568.02"
WEEK 2,Friday,August 15,"£	1,300.00","£	3,312.04",,,£	(100.00),,£	(250.00),"£	(1,743.82)",,,,£	(60.00),"US$	10,000.00",US$	0.00,£	0.00,,"US$	2,991.53","£	1,346.19",,,,,,£	242.85,£	(71.43),£	100.00,£	89.29,£	(5.94),,£	173.74,,,,£	250.00,"£	1,746.00",,US$	0.00,£	0.00,,,£	940.99,,,£	60.00,US$	16.44,£	7.40,,"£	1,693.82","US$	3,764.04",,"£	1,743.82","US$	3,780.48","US$	1,701.22","£	7,540.28","US$	16,756.17"
WEEK 2,Saturday,August 16,"£	1,300.00",,,,,,,,,,,,"US$	10,000.00",US$	0.00,£	0.00,,"US$	2,991.53","£	1,346.19",,,,,,£	71.42,£	(171.43),,£	83.35,£	(5.94),,£	173.74,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	940.99,,,,US$	16.44,£	7.40,,"£	1,693.82","US$	3,764.04",,£	0.00,"US$	3,780.48","US$	1,701.22","£	7,362.90","US$	16,362.00"
WEEK 2,Sunday,August 17,"£	1,008.28",,,,,,,,,,,,"US$	10,000.00",US$	0.00,£	0.00,,"US$	2,991.53","£	1,346.19",,,,,,£	(0.01),£	(71.43),,£	77.40,£	(5.94),,£	173.74,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	940.99,,,,US$	16.44,£	7.40,,"£	1,693.82","US$	3,764.04",,£	0.00,"US$	3,780.48","US$	1,701.22","£	6,993.81","US$	15,541.79"
WEEK 1,Monday,August 18,£	442.77,,,,£	(400.00),,,,,,,£	(165.51),"US$	10,000.00",US$	0.00,£	0.00,,"US$	2,991.53","£	1,346.19",,,,,,£	342.85,£	(57.14),£	400.00,£	71.46,£	(5.94),,£	173.74,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	940.99,£	(100.00),£	(65.51),£	165.51,US$	16.44,£	7.40,,"£	1,693.82","US$	3,764.04",,£	0.00,"US$	3,780.48","US$	1,701.22","£	6,765.21","US$	15,033.81"
WEEK 1,Tuesday,August 19,£	442.77,,,,,,,£	(50.00),,,,£	50.00,"US$	10,000.00",US$	0.00,£	0.00,,"US$	2,991.53","£	1,346.19",,,,,,£	285.71,£	(57.14),,£	65.51,£	(5.94),,£	173.74,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	890.99,,,£	(50.00),US$	16.44,£	7.40,,"£	1,743.82","US$	3,875.16",,£	50.00,"US$	3,891.60","US$	1,751.22","£	6,702.13","US$	14,893.62"
WEEK 1,Wednesday,August 20,£	442.77,,,,,,,,,,,,"US$	10,000.00",US$	0.00,£	0.00,,"US$	2,991.53","£	1,346.19",,,,,,£	228.57,£	(57.14),,£	59.57,£	(5.94),,£	173.74,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	890.99,,,,US$	16.44,£	7.40,,"£	1,743.82","US$	3,875.16",,£	0.00,"US$	3,891.60","US$	1,751.22","£	6,639.04","US$	14,753.43"
